ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B0008EWS6W,1.0,what a let down this was made to run on windows  i have windows  and it wont work properly the help file wont open because after winxp the help file used is not supported by windowsim not sure how to get this working as what does run doesnt instruct on what part to use first its presented as a movie set with books for reference voice video and lesson choice i have only tried the beginner cdrom so far but it has been a struggle to get it working i finally got it to work by opening the program as administrator mode otherwise it gives the opening screen and an error message of error   close and  the program is made to run in  to  resolution plus the cd must be in the drive for the program to runthere are  program disks plus  audio disks just have to get that help file to open then maybe ill do better,instant immersion japanese  old version,5.95,0.6075949367088608,158.0,8.777777777777779,-63.52,158,1,30,18,1,10,1,1,14,158.0,158.0,8.7778,18.0,30.0,18.0,0.5556,10.0,1.0,1.0,1.0,0.0556,14.0,0.7778,64,16,59,16,98,18,84,18,0.86,0.21,0.25,0.11,0.33,0.41,64,40,38.6,39.9,0.65,0.8,4.57,6.46,0.91,21.43,0.7,0.63,10.7,2.31,0.2,0.79,0.1,0.08,0.18
B005GISNUU,1.0,this was one of two software selections that i bought my mother for her birthday  there is a known problem with the program yet it continues to be distributed and sold  you cannot load the fonts on the long version or the short version broderbund is aware of this problem and has done absolutely nothing to make it right  amazon shame on you for selling this,printmaster  platinum,12.95,0.7727272727272727,22.333333333333332,11.166666666666666,21.41,67,1,9,6,3,3,2,2,9,67.0,22.3333,11.1667,6.0,3.0,2.0,0.5,1.0,3.0,0.6667,0.6667,0.3333,3.0,1.5,30,8,26,8,36,8,29,8,0.81,0.28,0.27,0.12,0.12,0.25,30,30,30.0,30.0,0.83,0.83,3.54,5.0,0.95,30.59,0.9,0.88,6.12,1.75,0.24,0.87,0.17,0.03,0.21
B015724OVG,1.0,no stars  this is by far the worst system i have ever bought after hours and hours trying to find out what is covered without paying additional fees for normal coverage with any other system i still dont know so very sorry i bought this piece of rip you off system,norton security deluxe ndash  devices ndash  year subscription  instant download   ready,49.99,0.8431372549019608,51.0,12.75,36.63,51,1,8,4,1,4,0,1,8,51.0,51.0,12.75,4.0,8.0,4.0,1.0,4.0,1.0,0.0,1.0,0.25,8.0,2.0,29,3,24,3,36,3,30,3,0.83,0.1,0.1,0.12,0.12,0.25,29,29,29.0,29.0,0.81,0.81,3.42,4.83,0.94,25.79,0.8,0.88,6.12,1.75,0.23,0.62,0.17,0.13,0.3
B01FG9VCAQ,1.0,fairly useless make sure you realize that this is a limited reduced features version of aftershot  pro this one cant even keep a catalog of your photos there are better tools to import photos and of course there is no way to get a refund and upgrading costs more than just buying the socalled pro version,aftershot  photo editing software pc download,34.99,0.7857142857142857,56.0,14.0,31.56,56,1,8,4,1,3,0,1,8,56.0,56.0,14.0,4.0,8.0,4.0,0.75,3.0,1.0,0.0,1.0,0.25,8.0,2.0,30,11,28,11,34,12,30,12,0.88,0.4,0.37,0.17,0.17,0.29,30,30,30.0,30.0,0.88,0.88,3.64,5.14,0.96,43.15,0.93,1.0,6.0,1.73,0.2,0.83,0.3,0.1,0.4
B006GOFW3E,1.0,i wish i had read product reviews prior to purchasing this itemthe hardware  cables  work great but software cd is horrible everytime you go to publish a video it comes up error  program will shut down or you get a sorry the servers are down try again lateri used google to search for answers to that problem and was a lot of feedback from others whom have used it you have the option of emailing tech support but they never reply so the cables work if you download another program like windows movie maker other than that the software it comes with is of no use,roxio easy vhs to dvd  plus video converter for pc,35.65,0.7452830188679245,26.5,8.153846153846153,-19.2,106,1,19,13,4,9,4,0,15,106.0,26.5,8.1538,13.0,4.75,3.25,0.6923,2.25,4.0,1.0,0.0,0.0,3.75,1.1538,53,17,46,17,67,18,55,18,0.82,0.33,0.32,0.17,0.5,0.5,53,43,41.5,43.3,0.79,0.86,4.58,6.47,0.94,32.76,0.84,0.83,12.5,2.5,0.27,0.93,0.13,0.04,0.16
B00005LBVU,1.0,we have xp and vista on our computers  while the game looks really cool and would be a great addition if you could get it to boot i decided to pass after reading all the reviews from frustrated xp userswriting this in the hopes the development staff will get a clue and fix the problem  send a patch  something if they want to keep up with technology or let the thing rust as tech passes it by,zoombinis logical journey  pcmac,15.88,0.8051948051948052,77.0,12.833333333333334,10.24,77,1,10,6,1,5,1,4,6,77.0,77.0,12.8333,6.0,10.0,6.0,0.8333,5.0,1.0,1.0,4.0,0.6667,6.0,1.0,37,12,34,12,40,13,37,13,0.93,0.35,0.32,0.38,2.25,1.06,37,37,37.0,37.0,0.93,0.93,4.14,5.85,0.98,75.8,0.92,0.94,14.06,2.65,0.41,1.0,0.08,0.03,0.11
B0026PI9DM,1.0,i have used rosetta stone and this product  i agree that neither are quite what they promise which is an easy way to learn a language  for someone to compare this favorably to rs is highly suspicious to me  after multiple failed attempts to get this product to work on my mac i went to a pc laptop to actually check it out  this product compares to rosetta stone in the way that a fast food hamburger compares to a wellprepared steak  this is really nothing more than a mildlyinteractive vocabulary list  perhaps thats worth the money but dont confuse it with the advanced learning procedures from rosetta stone  my problem with rs is that they do not show you enough direct translation vocabulary  so in that sense this would be a nice complement to rs  the audio cds included in this are actual lessons thus not really helpful for drilling and memorizing  its really not comparable to rs at all and any comparison is incredibly unfair  they should take those claims off of their packaging  ill be demanding a refund for the mac incompatibility but otherwise would make use of the money back guarantee  save yourself the hassle,instant immersion japanese levels  old version,14.99,0.6381909547738693,199.0,10.473684210526315,-130.52,199,1,28,19,1,12,1,4,24,199.0,199.0,10.4737,19.0,28.0,19.0,0.6316,12.0,1.0,1.0,4.0,0.2105,24.0,1.2632,89,33,78,31,118,39,97,37,0.82,0.38,0.37,0.19,0.96,0.69,89,38,41.7,42.2,0.75,0.8,5.79,8.19,0.94,35.04,0.8,0.85,18.62,3.05,0.23,0.83,0.18,0.04,0.22
B00EDSI7QO,1.0,i bought a new toshiba windows  laptop i couldnt believe the time consuming rubbish i had to go through just to open it and get on line i put up with it for a month then i had it made over to windows  professional well worth the trouble,microsoft windows   full version,165.99,0.75,48.0,12.0,48.14,48,1,6,4,1,3,1,1,5,48.0,48.0,12.0,4.0,6.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,5.0,1.25,27,6,25,6,32,6,29,6,0.91,0.21,0.22,0.2,0.4,0.45,27,27,27.0,27.0,0.84,0.84,3.38,4.77,0.95,30.7,0.86,1.0,10.0,2.24,0.34,0.73,0.14,0.14,0.28
B00BBJR0SO,5.0,i have used norton utilities and norton antivirus since the mid   when symantec created norton internet security i changed my antivirus program to nis  i have never had trouble with either of these programs and i believe these utilities are a must for anybody who wants to keep a system safe and running at optimal speed,norton utilities for  pcs download code,37.55,0.7678571428571429,56.0,9.333333333333334,14.64,56,1,8,6,1,3,1,2,7,56.0,56.0,9.3333,6.0,8.0,6.0,0.5,3.0,1.0,1.0,2.0,0.3333,7.0,1.1667,26,9,23,9,36,13,31,13,0.86,0.42,0.35,0.12,0.12,0.25,26,26,26.0,26.0,0.72,0.72,3.06,4.33,0.91,17.14,0.74,1.0,8.0,2.0,0.26,0.75,0.19,0.0,0.19
B005S4Y13K,5.0,i love the fact that i could just download this program and not end up with more garbage from the unnecessary packaging  i also saved money doing it this way  i love turbotax we have used it for the last few years and i have had very good experiences with it,turbotax deluxe federal  efile  state  for pc download old version,59.95,0.7450980392156863,51.0,10.2,36.63,51,1,6,5,1,2,1,1,6,51.0,51.0,10.2,5.0,6.0,5.0,0.4,2.0,1.0,1.0,1.0,0.2,6.0,1.2,27,5,23,5,34,5,28,5,0.82,0.18,0.19,0.14,0.14,0.27,27,27,27.0,27.0,0.79,0.79,3.27,4.63,0.93,23.43,0.82,0.86,5.14,1.6,0.21,0.77,0.21,0.07,0.29
