ID,rating,review,product,price,ttr,words_per_t_unit,words_per_clauses,flesch_reading_ease,l2sca_W,l2sca_S,l2sca_VP,l2sca_C,l2sca_T,l2sca_DC,l2sca_CT,l2sca_CP,l2sca_CN,l2sca_MLS,l2sca_MLT,l2sca_MLC,l2sca_C/S,l2sca_VP/T,l2sca_C/T,l2sca_DC/C,l2sca_DC/T,l2sca_T/S,l2sca_CT/T,l2sca_CP/T,l2sca_CP/C,l2sca_CN/T,l2sca_CN/C,lca_wordtypes,lca_swordtypes,lca_lextypes,lca_slextypes,lca_wordtokens,lca_swordtokens,lca_lextokens,lca_slextokens,lca_ld,lca_ls1,lca_ls2,lca_vs1,lca_vs2,lca_cvs1,lca_ndw,lca_ndwz,lca_ndwerz,lca_ndwesz,lca_ttr,lca_msttr,lca_cttr,lca_rttr,lca_logttr,lca_uber,lca_lv,lca_vv1,lca_svv1,lca_cvv1,lca_vv2,lca_nv,lca_adjv,lca_advv,lca_modv
B00T4MHTN6,5.0,these are tasty fun quick little meals that i can throw in my purse and have a good snack ready when and if i need it  since im an adult sometimes ill have  different ones for a real lunch but often im full after eating just this one  i suppose i find the applesauce in this one helps fill me up  i am also addicted to the fruit chews which are absolutely delicious along with everything else in this little box  i highly recommend them as a healthy snack or meal for big and little people,gopicnic readytoeat meals sunflower butter amp multigrain crackers  ounce,3.66,0.7708333333333334,96.0,9.6,-0.59,96,1,11,10,1,9,1,4,14,96.0,96.0,9.6,10.0,11.0,10.0,0.9,9.0,1.0,1.0,4.0,0.4,14.0,1.4,46,11,39,11,59,13,49,13,0.83,0.27,0.24,0.12,0.12,0.25,46,41,39.3,41.1,0.78,0.82,4.23,5.99,0.94,29.01,0.8,1.0,8.0,2.0,0.16,0.73,0.27,0.08,0.35
B00UJIYDBK,4.0,i have to admit i didnt really like the flavor of these chili lime peanuts when i first tasted them but the flavor definitely grew on me they arent super spicy but they definitely have a little bit of a kick to them and youll want to have a cool beverage nearby when youre eating them just the right touch of lime on these too i will buy these again for sure,planters flavored peanuts chili lime  ounce canister,1.6,0.6666666666666666,72.0,10.285714285714286,23.78,72,1,9,7,1,2,1,1,8,72.0,72.0,10.2857,7.0,9.0,7.0,0.2857,2.0,1.0,1.0,1.0,0.1429,8.0,1.1429,33,14,29,14,41,17,35,17,0.85,0.49,0.42,0.4,1.6,0.89,33,33,33.0,33.0,0.8,0.8,3.64,5.15,0.94,27.59,0.83,1.0,10.0,2.24,0.29,0.79,0.17,0.11,0.29
B000RAFMPG,5.0,simply put this is green tea at its finest not that crap american companies try to pushi have purchased this brand in its  liter variety at japanese supermarkets for years now if youve drank the original green ito en oi ocha this is the stronger bolder older brother and it does not disappoint the lighter variety has a subtle mellow nutty and delicate flavor while i enjoyed the light this dark green tea just sings all of the same flavors in the light but magnified it is the quintessential drink without the sugar and artificial ingredients we unfortunately see today in american supermarkets lets also not forget the antioxidantsremember to always keep it refrigerated and enjoy it with ice,teas tea unsweetened pure green tea  oz,1.59,0.7226890756302521,119.0,9.916666666666666,-49.32,119,1,14,12,1,9,1,4,20,119.0,119.0,9.9167,12.0,14.0,12.0,0.75,9.0,1.0,1.0,4.0,0.3333,20.0,1.6667,62,26,55,26,77,28,65,28,0.84,0.43,0.42,0.31,1.56,0.88,62,43,43.3,44.4,0.81,0.86,5.0,7.07,0.95,37.82,0.85,0.94,14.06,2.65,0.23,0.83,0.23,0.03,0.26
B00MHTGHE0,5.0,these were quite tasty and i preferred them to the kirkland brand ones which i also purchased and which came with lots of empty shells and were very dried out  these on the other hand were more succulent and tasty and there were no shells and very few that i couldnt open,wonderful pistachios roasted and salted  ounce bag,7.98,0.6923076923076923,52.0,7.428571428571429,52.54,52,1,7,7,1,3,1,3,5,52.0,52.0,7.4286,7.0,7.0,7.0,0.4286,3.0,1.0,1.0,3.0,0.4286,5.0,0.7143,24,6,19,6,32,8,24,8,0.75,0.33,0.25,0.17,0.17,0.29,24,24,24.0,24.0,0.75,0.75,3.0,4.24,0.92,18.13,0.79,1.0,6.0,1.73,0.25,0.86,0.29,0.04,0.33
B00ZLUOO9C,5.0,i prefer these over the refillable built in spray with refillable dry pads because they clean better theres a huge difference when the pad itself is already wet and its smaller to store away and easier to handle i converted when i started cleaning peoples homes i used to use the spray style and felt like all i did was spray an entire bottle out and scrub away like crazy i figured this set up couldnt work better but it does and its super quick to change too,swiffer sweeper dry and wet floor mopping and cleaning starter kit all purpose floor cleaning products includes  mop  dry pads  wet pads,11.94,0.75,29.333333333333332,9.777777777777779,7.54,88,1,15,9,3,5,1,3,12,88.0,29.3333,9.7778,9.0,5.0,3.0,0.5556,1.6667,3.0,0.3333,1.0,0.3333,4.0,1.3333,42,12,38,12,56,16,50,16,0.89,0.32,0.29,0.21,0.84,0.65,42,37,38.6,37.9,0.75,0.74,3.97,5.61,0.93,24.46,0.76,0.84,13.47,2.6,0.32,0.62,0.22,0.04,0.26
B00XA9DADC,2.0,very mild chai flavour  weaker than the tea bagssucralose taste is still htere but weaker than in the cafe escapes onenot very creamy i had to add milk to get it to be lattelikethis is the least sucralose tasting chai latte ive tried out of this cafe escapes and archer farms i really cant stand the artificial sweetener taste howeverwill not buy again,twinings of london pure peppermint herbal tea kcups for keurig  count,8.0,0.7777777777777778,63.0,10.5,32.91,63,1,10,6,1,5,1,2,6,63.0,63.0,10.5,6.0,10.0,6.0,0.8333,5.0,1.0,1.0,2.0,0.3333,6.0,1.0,37,19,33,19,47,22,41,22,0.87,0.54,0.51,0.3,0.9,0.67,37,37,37.0,37.0,0.79,0.79,3.82,5.4,0.94,26.91,0.8,1.0,10.0,2.24,0.24,0.86,0.27,0.07,0.34
B00UB6U9OU,3.0,i ordered these through amazon prime pantry and i dont care for them the angle of these really make them so that they can only be used on back teeth that helps them do what they set out to do but its inconvenient to have to purchase a different product to floss the rest of my teeth its not that i cannot floss all of my teeth but i cannot floss them without being awkward or stabbing my palm with pointy end of the floss pick not the worst thing ever but i wont purchase again,dentek comfort clean back teeth floss picks  count,3.25,0.6458333333333334,98.0,12.25,7.88,98,1,14,8,1,5,1,2,15,98.0,98.0,12.25,8.0,14.0,8.0,0.625,5.0,1.0,1.0,2.0,0.25,15.0,1.875,38,12,32,12,53,17,43,17,0.81,0.4,0.32,0.29,1.14,0.76,38,36,36.4,36.4,0.72,0.72,3.69,5.22,0.92,20.58,0.74,0.79,8.64,2.08,0.26,0.76,0.14,0.05,0.19
B00NQ2K7B6,3.0,i am a bzz agent and received a full size cleanser and daily moisturizer sample to try  i have been using this product for  week now and wanted to fall in love with it from the beginning  i have dry sensitive  old skin  i love creamy cleansers that dont foam  burts bees sensitive skin cleanser is very thick creamy and nonfoaming  each time i have used it ive noticed that my skin feels good while its on my face but as soon as i wash it off my face immediately feels very dry  i havent had any issues with irritation and that part is great  each time i have followed the cleanser with the burts bees sensitive skin daily moisturizer  again this is a good nonirritating product that is fragrancefree but it is lacking in good solid moisture  it feels okay at first but rapidly disipates  i need a much heavier moisturizer with this  i wanted to love both products together but for my dry sensitive skin i just neeed more,burts bees face cleanser for sensitive skin ndash  ounces,7.39,0.543859649122807,171.0,8.55,-85.18,171,1,25,20,1,13,1,5,22,171.0,171.0,8.55,20.0,25.0,20.0,0.65,13.0,1.0,1.0,5.0,0.25,22.0,1.1,68,21,58,20,118,32,98,31,0.83,0.32,0.31,0.16,0.47,0.49,68,35,35.5,36.9,0.58,0.74,4.43,6.26,0.88,17.93,0.59,0.84,13.47,2.6,0.16,0.51,0.17,0.05,0.22
B00WYOHE54,4.0,i have been using the powerball tablets for many years now  they do a great job and are a pretty good value  i find they do a better job if i just put the tablet in the bottom of the dishwasher rather than putting it in the dispenser  i started buying them from amazon because the price is about  less than my grocery store but i have found that a lot of the tablets are broken however i dont think the dishes can tell the difference,finish all in  powerball fresh  dishwasher detergent tablets packaging may vary,12.49,0.7093023255813954,86.0,7.818181818181818,9.57,86,1,13,11,1,5,1,1,10,86.0,86.0,7.8182,11.0,13.0,11.0,0.4545,5.0,1.0,1.0,1.0,0.0909,10.0,0.9091,37,8,32,8,53,10,44,10,0.83,0.23,0.22,0.08,0.08,0.2,37,34,35.3,35.5,0.7,0.68,3.59,5.08,0.91,19.05,0.73,0.77,7.69,1.96,0.23,0.73,0.11,0.05,0.16
B00QJGW1OC,1.0,awful these arrived tasting entirely foreign to what i used to know the crust was very thick stiff and stale the filling was completely tasteless in fact the only taste was the awful crust have not been able to force another one into my mouth and i threw away the rest of what i had tried sorry that i ordered two boxes without checking to see if the product was worth even one box,hostess fruit pies cherry  ounce  count,6.37,0.7432432432432432,74.0,8.222222222222221,21.75,74,1,13,9,1,4,1,0,7,74.0,74.0,8.2222,9.0,13.0,9.0,0.4444,4.0,1.0,1.0,0.0,0.0,7.0,0.7778,36,6,33,6,48,8,40,8,0.83,0.2,0.17,0.08,0.08,0.2,36,36,36.0,36.0,0.75,0.75,3.67,5.2,0.93,22.62,0.82,1.0,12.0,2.45,0.3,0.79,0.2,0.12,0.33
